id	group	text	reverse
1	専門・職能別コンピタンス	「このことならあのひとに聞け」と絶えず専門家としてのアドバイスを求められる分野でうまくやっていくことをめざす。	0
2	全般管理コンピタンス	他の人びとのやる気をまとめあげ、チームをマネジメントすることによって大きな成果を上げることができたときに、最も大きな充実感を仕事に感じる。	0
3	自律・独立	自分のやり方、自分のスケジュールどおりに、自由に仕事ができるようなキャリアをめざす。	0
4	保障・安定	自由や自律を勝ち取るよりも、将来の保障や安定を得ることが、自分にとってはより重要なことだ。	0
5	起業家的創造性	常に自分の事業を起こすことができそうなアイデアを探している。	0
6	奉仕・社会貢献	社会に本当に貢献できていると感じられるときにこそ、キャリアがうまくいきそうだと感じる。	0
7	純粋な挑戦	難題を解決したり、とてつもない挑戦課題にみまわれた状況を打破したりできるようなキャリアをめざす。	0
8	生活様式	家族とともに楽しみにしていることが犠牲になってしまう仕事に異動させられるぐらいなら、その組織をやめた方がましだ。	0
9	専門・職能別コンピタンス	キャリアを通じて専門技能や職能分野の技能をすごく高度に磨き上げることができるならキャリアがうまくいきそうだと感じる。	0
10	全般管理コンピタンス	複雑な組織を率い、大勢の人びとを左右する意思決定を自分で下すような立場をめざす。	0
11	自律・独立	どのような課題をどのような日程と手順でおこなうのか、について自分の思いどおりになるとき、最も大きな充実感を仕事に感じる。	0
12	保障・安定	安定した職務保障もなしに仕事に配属させられるくらいなら、すっぱりとその組織を離れるだろう。	0
13	起業家的創造性	他人の経営する組織でマネジャーとして高い職位につくよりも、むしろ自分の事業を起こすことを重視する。	0
14	奉仕・社会貢献	キャリアを通じて、他の人びとのために自分の才能を役立てることができたときに、最も大きな充実感を自分のキャリアに感じる。	0
15	純粋な挑戦	非常に難しい挑戦課題に直面し、それを克服できたときにこそ、キャリアがうまくいきそうだと感じる。	0
16	生活様式	自分が家族がらみで望んでいることと、仕事から要請されることとがうまく両立できるキャリアをめざす。	0
17	専門・職能別コンピタンス	ゼネラル・マネジャー（部門長）になるよりも、自分の専門職能分野で上級マネジャーになる方が、より魅力的に感じられる。	0
18	全般管理コンピタンス	何らかの組織でゼネラル・マネジャー（部門長）の立場で仕事をするときにこそ、キャリアがうまくいきそうだと感じる。	0
19	自律・独立	完全な自律や自由を獲得したときにこそ、キャリアがうまくいきそうだと感じる。	0
20	保障・安定	将来が安定していて安心感のもてる会社での仕事を求めている。	0
21	起業家的創造性	自分自身のアイデアと努力だけによって何かを創り上げたときに、最も大きな充実感を自分のキャリアに感じる。	0
22	奉仕・社会貢献	マネジャーとして高い職位につくことよりも、自分の技能を生かして少しでも世の中を住みやすく働きやすくする方が、もっと大切だと思う。	0
23	純粋な挑戦	一見解決不可能と思われた問題を解決したり、どうにもならないような局面を打開したとき、最も大きな充実感を自分のキャリアに感じる。	0
24	生活様式	自分の個人的な要望、家族からの要望、キャリアに求められることをうまくバランスさせることができたときにこそ、キャリアがうまくいきそうだと感じる。	0
25	専門・職能別コンピタンス	自分の専門領域からはずれてしまうような人事異動をローテーションとして受入れるくらいなら、むしろその組織をやめる。	0
26	全般管理コンピタンス	今の自分の専門職能領域で上級マネジャーになるよりも、ゼネラル・マネジャー（部門長）として仕事をするほうが魅力的だと思う。	0
27	自律・独立	将来が保障された安心なことよりも、規則や規制にしばられず、自分のやりたいように仕事できるチャンスが大切だと思う。	0
28	保障・安定	収入面、雇用面で完全に保障されていると感じられるときに、最も大きな充実感を仕事に感じる。	0
29	起業家的創造性	自分自身の生み出した製品やアイデアで何かを創り出し、軌道にのせたときこそ、キャリアがうまくいきそうだと感じる。	0
30	奉仕・社会貢献	人類や社会にほんとうの貢献ができるキャリアをめざす。	0
31	純粋な挑戦	自分の問題解決能力、競争に打ち勝つ能力をフルに生かせる挑戦機会を求めている。	0
32	生活様式	マネジャーとして高い地位につくことよりも、自分の個人的な生活と仕事生活の両方をうまくバランスさせるほうが大切だと思う。	0
33	専門・職能別コンピタンス	自分独特の技能や才能を活用できたときに、最も大きな充実感を仕事に感じる。	0
34	全般管理コンピタンス	ゼネラル・マネジャー（部門長）になるコースから外れてしまいそうな仕事をやらされるぐらいなら、そんな組織はやめてしまう。	0
35	自律・独立	自律して自由に行動できないような仕事につくくらいなら、そんな組織はやめてしまう。	0
36	保障・安定	将来が保障され安心感をもって仕事に取り組めるようなキャリアをめざす。	0
37	起業家的創造性	自分自身の事業を起こし、それを軌道にのせることをめざす。	0
38	奉仕・社会貢献	他の人びとの役に立つために能力を発揮することができないような配属を拝受するぐらいなら、その組織をやめたいと思う。	0
39	純粋な挑戦	ほとんど解決できそうもない問題に挑戦できるということは、マネジャーとして高い地位につくことよりももっと大切である。	0
40	生活様式	自分個人や家族の関心事にあまりマイナスの影響がないような仕事の機会をいつも求めている。	0
